"DNP","Comment","Designator","Footprint","Qty","Description"
"","6.2nH","L7","hackrf:GSG-0402","1","INDUCTOR HIFREQ 6.2+/-0.3NH 0402"
"","0.56uH","L13","hackrf:GSG-0603","1","INDUCTOR 560nH ±5% 70mA 8.1Ω 0603"
"","3.3uH","L14","hackrf:GSG-0603","1","INDUCTR 3.3UH 290MA 20% 0603 SMD"
"","ECMF02-4CMX8","L15","gsg-modules:QFN-8_L2.5-W1.2-P0.50-BL","1",""
"DNP","DNP","L1,L4,L6,L8,L9","hackrf:GSG-0402","5",""
"","4u7","L10,L11","hackrf:GSG-NRG4026","2","INDUCTOR 4.7UH 1.6A 20% SMD"
"","10uH","L2,L3,L5,L12","hackrf:GSG-0603","4","INDUCTR 10UH 220MA 20% 0603 SMD"
"DNP","1V8","P1","hackrf:GSG-HEADER-1x2","1",""
"DNP","CLKOUT","P2","gsg-modules:SMA-73251-2120","1","CONN SMA JACK 50 OHM EDGE MNT W/JAM NUT & LOCK WASHER"
"","ANTENNA","P4","gsg-modules:SMA-73251-2120","1","CONN SMA JACK 50 OHM EDGE MNT W/JAM NUT & LOCK WASHER"
"DNP","LEDS","P5","hackrf:GSG-HEADER-2x3","1",""
"DNP","GPO4","P6","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","GPO2","P7","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","VCC","P8","hackrf:GSG-HEADER-1x2","1",""
"","BASEBAND","P9","hackrf:GSG-HEADER-2x8","1","CONN HEADER FMAL 16PS.1"" DL GOLD"
"DNP","GPO1","P13","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","XCVR_CLKOUT","P14","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","INTR","P15","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","CLKIN","P16","gsg-modules:SMA-73251-2120","1","CONN SMA JACK 50 OHM EDGE MNT W/JAM NUT & LOCK WASHER"
"DNP","GPO6","P17","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","OEB","P18","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","GPO3","P19","hackrf:GSG-TESTPOINT-50MIL","1",""
"","GPIO","P20","hackrf:GSG-HEADER-2x11","1","CONN HEADER FMAL 22PS.1"" DL GOLD"
"DNP","REF_IN","P21","hackrf:GSG-TESTPOINT-50MIL","1",""
"","I2S","P22","hackrf:GSG-HEADER-2x13","1","CONN HEADER FMAL 26PS.1"" DL GOLD"
"DNP","DBGEN","P23","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","TRST","P24","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","LPC_ISP","P25","hackrf:GSG-HEADER-1x6","1",""
"DNP","LPC_JTAG","P26","hackrf:GSG-50MIL-HEADER-2x5-TH","1","CONN HEADER .050"" 10PS DL PCB AU"
"DNP","MIXER_SDATA","P27","hackrf:GSG-TESTPOINT-50MIL","1",""
"","SD","P28","hackrf:GSG-HEADER-2x11","1","CONN HEADER FMAL 22PS.1"" DL GOLD"
"DNP","CPLD_JTAG","P29","hackrf:GSG-HEADER-1x2","1",""
"DNP","BANK2_AUX","P30","hackrf:GSG-HEADER-2x10","1",""
"DNP","MIXER_SCLK","P31","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","MIXER_ENX","P32","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","MIXER_RESETX","P33","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","MIX_BYPASS","P34","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","!MIX_BYPASS","P35","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","VAA","P36","hackrf:GSG-HEADER-1x2","1",""
"DNP","SCL","P37","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","SDA","P38","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","SSP1_SCK","P39","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","SSP1_MOSI","P40","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","SSP1_MISO","P41","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","RX","P43","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","HP","P44","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","LP","P45","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","TX_MIX_BP","P46","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","RX_MIX_BP","P47","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","TX_AMP","P48","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","RX_AMP","P49","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","AMP_BYPASS","P50","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","!TX_AMP_PWR","P51","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","!RX_AMP_PWR","P52","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","CS_XCVR","P53","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","CS_AD","P54","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","TXENABLE","P55","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","RXENABLE","P56","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","XTAL2","P57","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","GCK1","P58","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","GCK2","P59","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","SGPIO_CLK","P60","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","DA0","P61","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","DA7","P62","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","DD0","P63","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","DD9","P64","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","DA4","P65","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","DD5","P66","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","RSSI","P67","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","SPIFI_CS","P68","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","VREGMODE","P69","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","EN_1V8","P70","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","P1_2","P73","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","P1_1","P74","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","SHIELD","P80","hackrf:GSG-HEADER-NOMARK-1x2","1",""
"DNP","SPIFI_SIO2","P81","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","SPIFI_SIO3","P82","hackrf:GSG-TESTPOINT-50MIL","1",""
"DNP","GND","P3,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92","-- mixed values --","11",""
"DNP","GP_CLKIN","P72,P75,P76,P77,P78,P79","hackrf:GSG-TESTPOINT-50MIL","6",""
"","MOSFET_P","Q3,Q4,Q5","gsg-modules:SOT23GDS","3","-- mixed values --"
"","22k","R3","hackrf:GSG-0402","1","RES 22K OHM 1/10W 5% 0402 SMD"
"","51k","R4","hackrf:GSG-0402","1","RES TF 51K OHM 1% 0.0625W 0402"
"","330k","R47","hackrf:GSG-0402","1","RES TF 1/16W 330K OHM 1% 0402"
"","715k","R56","hackrf:GSG-0402","1","RES TF 1/16W 715K OHM 1% 0402"
"","12k","R69","hackrf:GSG-0402","1","RES 12.0K OHM 1/16W 1% 0402 SMD"
"","470","R1,R2,R72,R75","hackrf:GSG-0402","4","RES TF 1/16W 470 OHM 5% 0402"
"","4k7","R14,R15,R16,R17","hackrf:GSG-0402","4","RES 4.7K OHM 1/16W 1% 0402"
"","1k8","R18,R27,R28,R74","hackrf:GSG-0402","4","RES TF 1.8K OHM 5% 1/16W 0402"
"","39","R19,R30,R31,R32,R33,R34,R77,R78,R79,R80,R81,R86,R87,R88,R89,R90,R91,R94,R96,R98,R99,R100","hackrf:GSG-0402","22","RES 39 OHM 1/16W 5% 0402 SMD"
"","0","R20,R21,R22,R23,R57,R58,R62","hackrf:GSG-0402","7","RES 0.0 OHM 1/16W 0402 SMD"
"","5k1","R24,R29","hackrf:GSG-0402","2","Resistor"
"","475","R25,R26","hackrf:GSG-0402","2","RES TF 1/16W 470 OHM 5% 0402"
"","1.5k","R42,R43,R44","hackrf:GSG-0402","3","RES 1.5K OHM 1/10W 5% 0402 SMD"
"","162k","R46,R55","hackrf:GSG-0402","2","RES TF 1/16W 162K OHM 1% 0402"
"","10k","R5,R6,R7,R11,R36,R37,R39,R40,R41,R48,R49,R51,R52,R54,R59,R63,R64,R65,R66,R67,R68,R85,R93,R104,R105","hackrf:GSG-0402","25","RES 10K OHM 1/16W 5% 0402 SMD"
"","1k","R8,R9,R10,R13,R38,R73,R76","hackrf:GSG-0402","7","-- mixed values --"
"","DFU","SW1","hackrf:GSG-SWITCH-FSMRA","1","SWITCH TACTILE SPST-NO 0.05A 12V"
"","RESET","SW2","hackrf:GSG-SWITCH-FSMRA","1","SWITCH TACTILE SPST-NO 0.05A 12V"
"","MIX_IN_BALUN","T1","hackrf:GSG-B0310J50100AHF","1","Ultra Low Profile 0805 Balun 50 to 100 ohm Balanced"
"","MIX_OUT_BALUN","T2","hackrf:GSG-B0310J50100AHF","1","Ultra Low Profile 0805 Balun 50 to 100 ohm Balanced"
"","RX_BALUN","T3","hackrf:GSG-2500BL14M100","1","BALUN CERAMIC CHIP WIMAX 2.5GHZ"
"Alternative part: Murata LDB182G4510G-120","TX_BALUN","T4","hackrf:GSG-2500BL14M100","1","BALUN CERAMIC CHIP WIMAX 2.5GHZ"
"","RX_LOWPASS_FILTER","U3","hackrf:GSG-LP0603","1","FILTER LOW PASS 1880MHZ 0603 SMD"
"","RFFC5072","U4","hackrf:GSG-QFN32","1","WIDEBAND SYNTHESIZER/VCO WITH INTEGRATED 6GHz MIXER"
"","RX_HIGHPASS_FILTER","U8","hackrf:GSG-HP-DEA","1","FILTER HIGHPASS WLAN&BLUETOOTH"
"","MAX2837","U17","hackrf:GSG-QFN48-6","1","IC TXRX 2.3GHZ-2.7GHZ 48TQFN"
"","MAX5864","U18","hackrf:GSG-QFN48-7","1","IC ANLG FRONT END 22MSPS 48-TQFN"
"","SI5351C","U19","hackrf:GSG-QFN20-4","1","IC CLK GENERATOR 160MHZ 20QFN"
"","W25Q80","U20","hackrf:GSG-SOIC8-208","1","IC FLASH 8MBIT 8SOIC"
"","TPS62410","U21","hackrf:GSG-S-PVSON-N10","1","IC BUCK SYNC DUAL ADJ 0.8A 10SON"
"","LPC4320FBD144","U23","hackrf:GSG-LQFP144","1","IC MCU 32BIT 144LQFP"
"","GSG-XC2C64A-7VQG100C","U24","hackrf:GSG-VQ100","1","IC CR-II CPLD 64MCELL 100-VQFP"
"","SKY13453","U1,U2,U5,U6,U7,U10,U11","gsg-modules:SKY13453-385LF","7",""
"","TRF37B73","U13,U25","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","2",""
"","SKY13317","U9,U12,U14","hackrf:GSG-SKY13317-373LF","3","20 MHz-6.0 GHz pHEMT GaAs SP3T Switch"
"","GSG-XTAL4PIN","X1","hackrf:GSG-XTAL3.2x2.5mm","1","CRYSTAL 25.0000MHZ 10PF SMD"
"","MCU_XTAL","X2","hackrf:GSG-XTAL3.2x2.5mm","1","CRYSTAL 12.000 MHZ 12PF SMD"
"","RTC_XTAL","X3","hackrf:GSG-XTAL-AB26TRQ","1","CRYSTAL 32.768KHZ 12.5PF SMD"
